dates,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2018-07-22 16:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0034645962717783137,0.0,-0.006578876252703367,-0.0009412913759354037,-0.005864902266786447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-22 17:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,-0.001288272443068424,0.0,-0.006578876252703367,-0.0009412913759354037,-0.00824095670858713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-22 19:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.00295490001260053,0.0,-0.006578876252703367,-0.0009412913759354037,-0.006120900908175221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-22 20:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0035216960500448354,0.0,-0.006578876252703367,-0.0009412913759354037,-0.005837514191258398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-22 21:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.003532280381531373,0.0,-0.006578876252703367,-0.0009412913759354037,-0.005832222168392229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-22 22:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.00836640273206534,0.0,-0.006578876252703367,-0.0009412913759354037,-0.0034154509792371514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-22 23:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0065021506730279285,0.0,-0.006578876252703367,-0.0009412913759354037,-0.004347434409912473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-23 00:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026324448288115015,0.0,-0.006578876252703367,-0.0009412913759354037,-0.008914430335991553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-23 01:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,-0.002367904865324841,0.0,-0.006578876252703367,-0.0009412913759354037,-0.008782164479374221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-23 02:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0019658374139522863,0.0,-0.006578876252703367,-0.0009412913759354037,-0.006615333181190401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
